Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,192,5,Some Random Commen with Id 0
1,0,5,163,0,Some Random Commen with Id 1
2,0,5,69,3,Some Random Commen with Id 2
3,0,5,190,4,Some Random Commen with Id 3
4,0,5,167,5,Some Random Commen with Id 4
5,1,3,146,0,Some Random Commen with Id 5
6,1,3,112,9,Some Random Commen with Id 6
7,1,3,38,0,Some Random Commen with Id 7
8,1,3,38,2,Some Random Commen with Id 8
9,2,0,143,7,Some Random Commen with Id 9
10,2,0,183,0,Some Random Commen with Id 10
11,2,0,164,7,Some Random Commen with Id 11
12,2,0,4,2,Some Random Commen with Id 12
13,2,0,159,6,Some Random Commen with Id 13
14,3,4,68,4,Some Random Commen with Id 14
15,3,4,56,9,Some Random Commen with Id 15
16,3,4,161,4,Some Random Commen with Id 16
17,3,4,24,0,Some Random Commen with Id 17
18,3,4,154,6,Some Random Commen with Id 18
19,3,4,50,9,Some Random Commen with Id 19
20,3,4,180,6,Some Random Commen with Id 20
21,3,4,94,8,Some Random Commen with Id 21
22,5,4,56,4,Some Random Commen with Id 22
23,5,4,91,5,Some Random Commen with Id 23
24,5,4,194,6,Some Random Commen with Id 24
25,5,4,116,8,Some Random Commen with Id 25
26,6,0,145,0,Some Random Commen with Id 26
27,6,0,193,9,Some Random Commen with Id 27
28,6,0,30,3,Some Random Commen with Id 28
29,7,4,88,1,Some Random Commen with Id 29
30,7,4,67,1,Some Random Commen with Id 30
31,7,4,125,1,Some Random Commen with Id 31
32,8,2,199,2,Some Random Commen with Id 32
33,8,2,159,1,Some Random Commen with Id 33
34,8,2,19,6,Some Random Commen with Id 34
35,8,2,119,8,Some Random Commen with Id 35
36,8,2,104,7,Some Random Commen with Id 36
37,8,2,175,5,Some Random Commen with Id 37
38,9,9,28,3,Some Random Commen with Id 38
39,9,9,168,4,Some Random Commen with Id 39
40,9,9,188,1,Some Random Commen with Id 40
41,10,2,88,1,Some Random Commen with Id 41
42,11,5,68,1,Some Random Commen with Id 42
43,11,5,88,2,Some Random Commen with Id 43
44,11,5,9,1,Some Random Commen with Id 44
45,11,5,68,0,Some Random Commen with Id 45
46,11,5,164,9,Some Random Commen with Id 46
47,11,5,157,3,Some Random Commen with Id 47
48,12,6,43,2,Some Random Commen with Id 48
49,12,6,78,5,Some Random Commen with Id 49
50,12,6,172,1,Some Random Commen with Id 50
51,12,6,77,5,Some Random Commen with Id 51
52,12,6,76,1,Some Random Commen with Id 52
53,12,6,148,6,Some Random Commen with Id 53
54,12,6,122,1,Some Random Commen with Id 54
55,12,6,131,5,Some Random Commen with Id 55
56,13,6,34,7,Some Random Commen with Id 56
57,13,6,87,5,Some Random Commen with Id 57
58,13,6,161,4,Some Random Commen with Id 58
59,13,6,137,3,Some Random Commen with Id 59
60,14,3,51,1,Some Random Commen with Id 60
61,14,3,199,1,Some Random Commen with Id 61
62,14,3,14,6,Some Random Commen with Id 62
63,14,3,20,2,Some Random Commen with Id 63
64,14,3,138,6,Some Random Commen with Id 64
65,14,3,157,0,Some Random Commen with Id 65
66,15,9,155,2,Some Random Commen with Id 66
67,15,9,64,9,Some Random Commen with Id 67
68,15,9,175,7,Some Random Commen with Id 68
69,15,9,44,2,Some Random Commen with Id 69
70,15,9,160,2,Some Random Commen with Id 70
71,15,9,109,9,Some Random Commen with Id 71
72,15,9,162,1,Some Random Commen with Id 72
73,16,0,187,2,Some Random Commen with Id 73
74,16,0,90,5,Some Random Commen with Id 74
75,16,0,104,4,Some Random Commen with Id 75
76,16,0,183,8,Some Random Commen with Id 76
77,16,0,76,9,Some Random Commen with Id 77
78,16,0,194,9,Some Random Commen with Id 78
79,17,8,176,9,Some Random Commen with Id 79
80,17,8,189,3,Some Random Commen with Id 80
81,17,8,33,4,Some Random Commen with Id 81
82,17,8,102,5,Some Random Commen with Id 82
83,17,8,177,6,Some Random Commen with Id 83
84,17,8,67,0,Some Random Commen with Id 84
85,17,8,184,8,Some Random Commen with Id 85
86,18,9,172,8,Some Random Commen with Id 86
87,18,9,109,5,Some Random Commen with Id 87
88,18,9,110,7,Some Random Commen with Id 88
89,18,9,71,0,Some Random Commen with Id 89
90,18,9,106,0,Some Random Commen with Id 90
91,18,9,187,3,Some Random Commen with Id 91
92,18,9,112,4,Some Random Commen with Id 92
93,19,0,111,4,Some Random Commen with Id 93
94,19,0,39,0,Some Random Commen with Id 94
95,19,0,65,5,Some Random Commen with Id 95
96,19,0,174,7,Some Random Commen with Id 96
97,20,8,103,6,Some Random Commen with Id 97
98,20,8,114,6,Some Random Commen with Id 98
99,20,8,24,3,Some Random Commen with Id 99
100,20,8,98,9,Some Random Commen with Id 100
101,20,8,88,8,Some Random Commen with Id 101
102,20,8,147,7,Some Random Commen with Id 102
103,20,8,136,5,Some Random Commen with Id 103
104,22,2,95,7,Some Random Commen with Id 104
105,22,2,175,4,Some Random Commen with Id 105
106,22,2,5,2,Some Random Commen with Id 106
107,22,2,5,3,Some Random Commen with Id 107
108,23,0,193,5,Some Random Commen with Id 108
109,23,0,121,6,Some Random Commen with Id 109
110,23,0,7,7,Some Random Commen with Id 110
111,23,0,168,9,Some Random Commen with Id 111
112,23,0,20,9,Some Random Commen with Id 112
113,25,5,68,4,Some Random Commen with Id 113
114,25,5,47,0,Some Random Commen with Id 114
115,25,5,58,1,Some Random Commen with Id 115
116,27,8,99,4,Some Random Commen with Id 116
117,27,8,61,4,Some Random Commen with Id 117
118,28,6,45,4,Some Random Commen with Id 118
119,28,6,93,0,Some Random Commen with Id 119
120,29,9,79,1,Some Random Commen with Id 120
121,29,9,22,3,Some Random Commen with Id 121
122,30,5,27,4,Some Random Commen with Id 122
123,30,5,163,6,Some Random Commen with Id 123
124,30,5,79,4,Some Random Commen with Id 124
125,30,5,192,6,Some Random Commen with Id 125
126,32,6,196,3,Some Random Commen with Id 126
127,32,6,146,3,Some Random Commen with Id 127
128,32,6,171,7,Some Random Commen with Id 128
129,32,6,90,1,Some Random Commen with Id 129
130,32,6,57,6,Some Random Commen with Id 130
131,32,6,148,4,Some Random Commen with Id 131
132,33,5,197,7,Some Random Commen with Id 132
133,33,5,39,3,Some Random Commen with Id 133
134,33,5,155,4,Some Random Commen with Id 134
135,33,5,45,1,Some Random Commen with Id 135
136,35,8,15,5,Some Random Commen with Id 136
137,35,8,88,8,Some Random Commen with Id 137
138,35,8,63,2,Some Random Commen with Id 138
139,35,8,57,5,Some Random Commen with Id 139
140,35,8,184,8,Some Random Commen with Id 140
141,35,8,19,2,Some Random Commen with Id 141
142,35,8,83,2,Some Random Commen with Id 142
143,35,8,20,3,Some Random Commen with Id 143
144,35,8,172,4,Some Random Commen with Id 144
145,36,0,138,1,Some Random Commen with Id 145
146,36,0,176,3,Some Random Commen with Id 146
147,36,0,118,7,Some Random Commen with Id 147
148,36,0,52,4,Some Random Commen with Id 148
149,36,0,133,6,Some Random Commen with Id 149
150,36,0,54,1,Some Random Commen with Id 150
151,37,6,93,8,Some Random Commen with Id 151
152,37,6,51,2,Some Random Commen with Id 152
153,38,9,138,6,Some Random Commen with Id 153
154,38,9,90,0,Some Random Commen with Id 154
155,38,9,182,4,Some Random Commen with Id 155
156,38,9,74,8,Some Random Commen with Id 156
157,38,9,175,1,Some Random Commen with Id 157
158,38,9,185,6,Some Random Commen with Id 158
159,38,9,124,0,Some Random Commen with Id 159
160,39,9,167,7,Some Random Commen with Id 160
161,39,9,148,7,Some Random Commen with Id 161
162,39,9,12,0,Some Random Commen with Id 162
163,39,9,194,1,Some Random Commen with Id 163
164,39,9,199,3,Some Random Commen with Id 164
165,39,9,147,0,Some Random Commen with Id 165
